movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt2119532,Hacksaw Ridge,Mel Gibson,Andrew Garfield Sam Worthington Luke Bracey Teresa Palmer,Biography/ Drama/ History,139,15,World War II American Army Medic Desmond T. Doss/ who served during the Battle of Okinawa/ refuses to kill people/ and becomes the first man in American history to receive the Medal of Honor without firing a shot.,0.8202,3,3,6,smoking and drinking
tt5463162,Deadpool 2,David Leitch,Ryan Reynolds Josh Brolin Morena Baccarin Julian Dennison,Action/ Adventure/ Comedy,119,18,Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool)/ brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal/ time-traveling cyborg Cable.,0.8152,3,3,7,smoking and drinking
tt3513548,Richard Jewell,Clint Eastwood,Paul Walter Hauser Sam Rockwell Brandon Stanley Ryan Boz,Biography/ Crime/ Drama,131,15,Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics/ but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.,0.6967,3,0,1,drinking
tt0075314,Taxi Driver,Martin Scorsese,Robert De Niro Jodie Foster Cybill Shepherd Albert Brooks,Crime/ Drama,114,18,A mentally unstable veteran works as a nighttime taxi driver in New York City/ where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.,0.8253,3,3,6,smoking and drinking
tt0104691,The Last of the Mohicans,Michael Mann,Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig,Action/ Adventure/ Drama,112,15,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,0.8257,3,3,0,smoking
tt2194499,About Time,Richard Curtis,Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson,Comedy/ Drama/ Fantasy,123,15,At the age of 21/ Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.,0.7696,3,3,4,smoking and drinking
tt0144084,American Psycho,Mary Harron,Christian Bale Justin Theroux Josh Lucas Bill Sage,Comedy/ Crime/ Drama,101,18,A wealthy New York City investment banking executive/ Patrick Bateman/ hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent/ hedonistic fantasies.,0.8339,3,3,7,smoking and drinking
tt0083658,Blade Runner,Ridley Scott,Harrison Ford Rutger Hauer Sean Young Edward James Olmos,Action/ Sci-Fi/ Thriller,117,R,A blade runner must pursue and terminate four replicants who stole a ship in space/ and have returned to Earth to find their creator.,0.8353,3,3,3,smoking and drinking
tt5362988,Wind River,Taylor Sheridan,Kelsey Asbille Jeremy Renner Julia Jones Teo Briones,Crime/ Drama/ Mystery,107,15,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,0.8123,1,1,0,smoking and drinking
tt1663202,The Revenant,Alejandro G. Iñárritu,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson,Action/ Adventure/ Drama,156,15,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,0.8352,3,3,6,smoking and drinking
tt4550098,Nocturnal Animals,Tom Ford,Amy Adams Jake Gyllenhaal Michael Shannon Aaron Taylor-Johnson,Drama/ Thriller,116,18,A wealthy art gallery owner is haunted by her ex-husband's novel/ a violent thriller she interprets as a symbolic revenge tale.,0.8081,1,3,7,smoking
tt0790636,Dallas Buyers Club,Jean-Marc Vallée,Matthew McConaughey Jennifer Garner Jared Leto Steve Zahn,Biography/ Drama,117,18,In 1985 Dallas/ electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.,0.7782,1,3,3,smoking and drinking
tt6450804,Terminator: Dark Fate,Tim Miller,Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia Reyes,Action/ Adventure/ Sci-Fi,128,15,An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl/ whose fate is critical to the human race.,0.806,3,3,8,drinking
tt5918982,Possessor,Brandon Cronenberg,Andrea Riseborough Christopher Abbott Jennifer Jason Leigh Rossif Sutherland,Horror/ Sci-Fi/ Thriller,103,R,Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,0.8076,3,3,0,smoking and drinking
tt0443706,Zodiac,David Fincher,Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards,Crime/ Drama/ Mystery,157,15,In the late 1960s/early 1970s/ a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer/ an unidentified individual who terrorizes Northern California with a killing spree.,0.8023,3,3,1,smoking and drinking
tt7888964,Nobody,None,None,Action/ Crime/ Drama,92,R,Director:Ilya Naishuller|     Stars:Bob Odenkirk/ Connie Nielsen/ Christopher Lloyd/ J.P. Manoux,0.5427,0,0,0,no alcohol or smoking
tt3460252,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins,Crime/ Drama/ Mystery,168,18,In the dead of a Wyoming winter/ a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.,0.8315,3,3,7,smoking
tt0469494,There Will Be Blood,Paul Thomas Anderson,Daniel Day-Lewis Paul Dano Ciarán Hinds Martin Stringer,Drama,158,15,A story of family/ religion/ hatred/ oil and madness/ focusing on a turn-of-the-century prospector in the early days of the business.,0.8019,3,1,4,smoking and drinking
tt7134096,The Rhythm Section,Reed Morano,Blake Lively Richard Brake Elly Curtis David Duggan,Action/ Drama/ Mystery,109,15,A woman seeks revenge against those who orchestrated a plane crash that killed her family.,0.8113,3,3,0,smoking
tt0083929,Fast Times at Ridgemont High,Amy Heckerling,Sean Penn Jennifer Jason Leigh Judge Reinhold Robert Romanus,Comedy/ Drama,90,None,A group of Southern California high school students are enjoying their most important subjects: sex/ drugs/ and rock n' roll.,0.7838,3,3,3,smoking and drinking
tt0119217,Good Will Hunting,Gus Van Sant,Robin Williams Matt Damon Ben Affleck Stellan Skarsgård,Drama/ Romance,126,12,Will Hunting/ a janitor at M.I.T./ has a gift for mathematics/ but needs help from a psychologist to find direction in his life.,0.7768,3,3,8,smoking and drinking
tt0085995,National Lampoon's Vacation,Harold Ramis,Chevy Chase Beverly D'Angelo Imogene Coca Randy Quaid,Adventure/ Comedy,98,None,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,0.7793,0,3,7,drinking
tt0071562,The Godfather: Part II,Francis Ford Coppola,Al Pacino Robert De Niro Robert Duvall Diane Keaton,Crime/ Drama,202,18,The early life and career of Vito Corleone in 1920s New York City is portrayed/ while his son/ Michael/ expands and tightens his grip on the family crime syndicate.,0.8243,1,3,7,smoking and drinking
